"NAM"	"DAT"	"PERIOD"	"ӘАОЖ(каталог бойынша)"	"LӘАОЖ(каталог бойынша)"	"ОЖА"	"LОЖА"	"VAL"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2025 г."	"202503"	"PAVLODAR REGION"	"0"	"Total"	"0"	"4.2"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2011 г."	"201103"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"7.1"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2011 г."	"201106"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"7.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2015 г."	"201503"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"1.7"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2015 г."	"201506"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"2.0"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2015 г."	"201509"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"1.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2015 г."	"201512"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"1.4"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2016 г."	"201606"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"1.7"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2016 г."	"201609"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"1.2"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2016 г."	"201612"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"1.1"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2014 г."	"201403"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"2.2"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2014 г."	"201406"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"2.1"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2014 г."	"201412"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"1.2"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2012 г."	"201203"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.2"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2012 г."	"201206"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2012 г."	"201212"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"2.0"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2013 г."	"201303"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"2.1"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2013 г."	"201306"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"2.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2012 г."	"201209"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"2.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2013 г."	"201309"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"1.7"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2013 г."	"201312"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"0.7"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2014 г."	"201409"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"1.4"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2011 г."	"201109"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.8"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2011 г."	"201112"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"2.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2017 г."	"201712"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"1.5"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2018 г."	"201803"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2018 г."	"201806"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2018 г."	"201809"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.1"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2018 г."	"201812"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2019 г."	"201903"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.7"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2019 г."	"201906"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.5"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2016 г."	"201603"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"1.3"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2019 г."	"201909"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"6.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2019 г."	"201912"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.9"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2020 г."	"202003"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.3"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2020 г."	"202006"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.3"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2020 г."	"202009"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"6.4"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2020 г."	"202012"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.1"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2021 г."	"202103"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.4"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2021 г."	"202109"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.5"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2021 г."	"202112"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.4"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2022 г."	"202203"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.5"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2022 г."	"202206"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.9"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2022 г."	"202212"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.0"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2023 г."	"202303"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2022 г."	"202209"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.1"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2023 г."	"202306"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2023 г."	"202309"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.3"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2023 г."	"202312"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.3"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2024 г."	"202403"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.2"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2024 г."	"202406"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.7"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2024 г."	"202409"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.0"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2024 г."	"202412"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2025 г."	"202503"	"SHYGYS KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.9"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2011 г."	"201103"	"AKMOLA REGION"	"0"	"countryside"	"0"	"7.7"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2011 г."	"201106"	"AKMOLA REGION"	"0"	"countryside"	"0"	"10.0"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2015 г."	"201503"	"AKMOLA REGION"	"0"	"countryside"	"0"	"2.9"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2015 г."	"201506"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.1"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2015 г."	"201509"	"AKMOLA REGION"	"0"	"countryside"	"0"	"3.2"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2015 г."	"201512"	"AKMOLA REGION"	"0"	"countryside"	"0"	"1.4"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2016 г."	"201606"	"AKMOLA REGION"	"0"	"countryside"	"0"	"3.9"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2016 г."	"201609"	"AKMOLA REGION"	"0"	"countryside"	"0"	"2.8"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2016 г."	"201612"	"AKMOLA REGION"	"0"	"countryside"	"0"	"1.6"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2014 г."	"201403"	"AKMOLA REGION"	"0"	"countryside"	"0"	"3.3"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2014 г."	"201406"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.3"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2014 г."	"201412"	"AKMOLA REGION"	"0"	"countryside"	"0"	"1.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2012 г."	"201203"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.4"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2012 г."	"201206"	"AKMOLA REGION"	"0"	"countryside"	"0"	"6.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2012 г."	"201212"	"AKMOLA REGION"	"0"	"countryside"	"0"	"3.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2013 г."	"201303"	"AKMOLA REGION"	"0"	"countryside"	"0"	"3.8"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2013 г."	"201306"	"AKMOLA REGION"	"0"	"countryside"	"0"	"6.1"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2012 г."	"201209"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2013 г."	"201309"	"AKMOLA REGION"	"0"	"countryside"	"0"	"3.5"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2013 г."	"201312"	"AKMOLA REGION"	"0"	"countryside"	"0"	"3.4"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2014 г."	"201409"	"AKMOLA REGION"	"0"	"countryside"	"0"	"3.3"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2011 г."	"201109"	"AKMOLA REGION"	"0"	"countryside"	"0"	"10.1"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2011 г."	"201112"	"AKMOLA REGION"	"0"	"countryside"	"0"	"6.1"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2017 г."	"201712"	"AKMOLA REGION"	"0"	"countryside"	"0"	"1.7"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2018 г."	"201803"	"AKMOLA REGION"	"0"	"countryside"	"0"	"6.5"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2018 г."	"201806"	"AKMOLA REGION"	"0"	"countryside"	"0"	"5.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2018 г."	"201809"	"AKMOLA REGION"	"0"	"countryside"	"0"	"5.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2018 г."	"201812"	"AKMOLA REGION"	"0"	"countryside"	"0"	"3.1"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2019 г."	"201903"	"AKMOLA REGION"	"0"	"countryside"	"0"	"5.8"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2019 г."	"201906"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.5"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2016 г."	"201603"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.2"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2019 г."	"201909"	"AKMOLA REGION"	"0"	"countryside"	"0"	"6.2"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2019 г."	"201912"	"AKMOLA REGION"	"0"	"countryside"	"0"	"3.6"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2020 г."	"202003"	"AKMOLA REGION"	"0"	"countryside"	"0"	"6.5"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2020 г."	"202006"	"AKMOLA REGION"	"0"	"countryside"	"0"	"8.4"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2020 г."	"202009"	"AKMOLA REGION"	"0"	"countryside"	"0"	"6.3"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2020 г."	"202012"	"AKMOLA REGION"	"0"	"countryside"	"0"	"2.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2021 г."	"202103"	"AKMOLA REGION"	"0"	"countryside"	"0"	"5.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2021 г."	"202109"	"AKMOLA REGION"	"0"	"countryside"	"0"	"5.1"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2021 г."	"202112"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.1"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2022 г."	"202203"	"AKMOLA REGION"	"0"	"countryside"	"0"	"5.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2022 г."	"202206"	"AKMOLA REGION"	"0"	"countryside"	"0"	"6.3"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2022 г."	"202212"	"AKMOLA REGION"	"0"	"countryside"	"0"	"5.7"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2023 г."	"202303"	"AKMOLA REGION"	"0"	"countryside"	"0"	"5.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2022 г."	"202209"	"AKMOLA REGION"	"0"	"countryside"	"0"	"7.7"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2023 г."	"202306"	"AKMOLA REGION"	"0"	"countryside"	"0"	"5.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2023 г."	"202309"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.9"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2023 г."	"202312"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.4"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2024 г."	"202403"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2024 г."	"202406"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.9"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2024 г."	"202409"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.0"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2024 г."	"202412"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.1"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2025 г."	"202503"	"AKMOLA REGION"	"0"	"countryside"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2011 г."	"201106"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"10.5"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2011 г."	"201103"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"8.6"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2015 г."	"201503"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"2.9"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2015 г."	"201506"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.4"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2015 г."	"201509"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.7"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2015 г."	"201512"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.4"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2016 г."	"201606"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.1"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2016 г."	"201609"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.2"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2016 г."	"201612"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"2.9"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2014 г."	"201403"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.3"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2014 г."	"201406"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.4"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2014 г."	"201412"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"2.7"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2012 г."	"201203"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.8"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2012 г."	"201206"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.9"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2012 г."	"201212"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.0"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2013 г."	"201303"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.8"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2013 г."	"201306"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.2"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2012 г."	"201209"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.4"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2013 г."	"201309"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.2"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2013 г."	"201312"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.6"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2014 г."	"201409"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.4"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2011 г."	"201109"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"9.8"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2011 г."	"201112"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.8"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2017 г."	"201712"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"2.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2018 г."	"201803"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.1"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2018 г."	"201806"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.6"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2018 г."	"201809"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.4"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2018 г."	"201812"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.4"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2019 г."	"201903"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.5"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2019 г."	"201906"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.1"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2016 г."	"201603"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"3.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2019 г."	"201909"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.3"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2019 г."	"201912"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.5"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2020 г."	"202003"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.0"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2020 г."	"202006"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"7.4"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2020 г."	"202009"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"8.3"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2020 г."	"202012"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2021 г."	"202103"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"6.0"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2021 г."	"202109"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.8"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2021 г."	"202112"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2022 г."	"202203"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.5"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2022 г."	"202206"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"6.2"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2022 г."	"202212"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.0"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2023 г."	"202303"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2022 г."	"202209"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"5.9"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2023 г."	"202306"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2023 г."	"202309"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.9"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2023 г."	"202312"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.3"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2024 г."	"202403"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.2"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2024 г."	"202406"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2024 г."	"202409"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.4"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2024 г."	"202412"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.4"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2025 г."	"202503"	"SOLTUSTIK KAZAKHSTAN REGION"	"0"	"Total"	"0"	"4.0"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2011 г."	"201106"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"6.9"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2011 г."	"201103"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"9.6"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2015 г."	"201503"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"3.8"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2015 г."	"201506"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"5.6"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2015 г."	"201509"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"5.0"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2015 г."	"201512"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2016 г."	"201606"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"3.7"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2016 г."	"201609"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"3.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2016 г."	"201612"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"3.6"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2014 г."	"201403"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"4.9"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2014 г."	"201406"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"4.5"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2014 г."	"201412"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"2.3"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2012 г."	"201203"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"5.9"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2012 г."	"201206"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"5.9"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2012 г."	"201212"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"3.4"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2013 г."	"201303"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"3.1"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2013 г."	"201306"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"4.1"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2012 г."	"201209"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"1.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2013 г."	"201309"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"2.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2013 г."	"201312"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"2.0"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2014 г."	"201409"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"2.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2011 г."	"201109"	"KOSTANAY REGION"	"0"	"countryside"	"0"	"5.0"
